date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:19:08	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265c3f40a-239b%22	https://codewithsadee.github.io/robots.txt		(from )
14:19:08	57272/57272	---M-Z	200	added ('OK')	text/html	etag:W/%2264f0764b-dfb8%22	https://codewithsadee.github.io/foodie/	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/index.html	(from )
14:19:08	5042/5042	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0764b-13b2%22	https://codewithsadee.github.io/foodie/favicon.svg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/favicon.svg	(from https://codewithsadee.github.io/foodie/)
14:19:09	29276/29276	---M-Z	200	added ('OK')	text/css	etag:W/%2264f0764b-725c%22	https://codewithsadee.github.io/foodie/assets/css/style.css	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/css/style.css	(from https://codewithsadee.github.io/foodie/)
14:19:09	157372/157372	---M--	200	added ('OK')	image/png	etag:%2264f0764b-266bc%22	https://codewithsadee.github.io/foodie/assets/images/hero-banner.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/hero-banner.png	(from https://codewithsadee.github.io/foodie/)
14:19:09	11555/11555	---M--	200	added ('OK')	image/png	etag:%2264f0764b-2d23%22	https://codewithsadee.github.io/foodie/assets/images/hero-banner-bg.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/hero-banner-bg.png	(from https://codewithsadee.github.io/foodie/)
14:19:09	67380/67380	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-10734%22	https://codewithsadee.github.io/foodie/assets/images/hero-bg.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/hero-bg.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:10	38623/38623	---M--	200	added ('OK')	image/png	etag:%2264f0764b-96df%22	https://codewithsadee.github.io/foodie/assets/images/promo-1.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/promo-1.png	(from https://codewithsadee.github.io/foodie/)
14:19:10	47099/47099	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b7fb%22	https://codewithsadee.github.io/foodie/assets/images/promo-2.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/promo-2.png	(from https://codewithsadee.github.io/foodie/)
14:19:10	45769/45769	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b2c9%22	https://codewithsadee.github.io/foodie/assets/images/promo-3.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/promo-3.png	(from https://codewithsadee.github.io/foodie/)
14:19:10	37152/37152	---M--	200	added ('OK')	image/png	etag:%2264f0764b-9120%22	https://codewithsadee.github.io/foodie/assets/images/promo-4.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/promo-4.png	(from https://codewithsadee.github.io/foodie/)
14:19:10	35599/35599	---M--	200	added ('OK')	image/png	etag:%2264f0764b-8b0f%22	https://codewithsadee.github.io/foodie/assets/images/promo-5.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/promo-5.png	(from https://codewithsadee.github.io/foodie/)
14:19:11	85643/85643	---M--	200	added ('OK')	image/png	etag:%2264f0764b-14e8b%22	https://codewithsadee.github.io/foodie/assets/images/about-banner.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/about-banner.png	(from https://codewithsadee.github.io/foodie/)
14:19:11	7109/7109	---M--	200	added ('OK')	image/png	etag:%2264f0764b-1bc5%22	https://codewithsadee.github.io/foodie/assets/images/sale-shape-red.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/sale-shape-red.png	(from https://codewithsadee.github.io/foodie/)
14:19:11	51863/51863	---M--	200	added ('OK')	image/png	etag:%2264f0764b-ca97%22	https://codewithsadee.github.io/foodie/assets/images/food-menu-1.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/food-menu-1.png	(from https://codewithsadee.github.io/foodie/)
14:19:11	47099/47099	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b7fb%22	https://codewithsadee.github.io/foodie/assets/images/food-menu-2.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/food-menu-2.png	(from https://codewithsadee.github.io/foodie/)
14:19:12	45769/45769	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b2c9%22	https://codewithsadee.github.io/foodie/assets/images/food-menu-3.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/food-menu-3.png	(from https://codewithsadee.github.io/foodie/)
14:19:12	42508/42508	---M--	200	added ('OK')	image/png	etag:%2264f0764b-a60c%22	https://codewithsadee.github.io/foodie/assets/images/food-menu-4.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/food-menu-4.png	(from https://codewithsadee.github.io/foodie/)
14:19:12	38623/38623	---M--	200	added ('OK')	image/png	etag:%2264f0764b-96df%22	https://codewithsadee.github.io/foodie/assets/images/food-menu-5.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/food-menu-5.png	(from https://codewithsadee.github.io/foodie/)
14:19:12	47099/47099	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b7fb%22	https://codewithsadee.github.io/foodie/assets/images/food-menu-6.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/food-menu-6.png	(from https://codewithsadee.github.io/foodie/)
14:19:13	110819/110819	---M--	200	added ('OK')	image/png	etag:%2264f0764b-1b0e3%22	https://codewithsadee.github.io/foodie/assets/images/cta-banner.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/cta-banner.png	(from https://codewithsadee.github.io/foodie/)
14:19:13	7606/7606	---M--	200	added ('OK')	image/png	etag:%2264f0764b-1db6%22	https://codewithsadee.github.io/foodie/assets/images/sale-shape.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/sale-shape.png	(from https://codewithsadee.github.io/foodie/)
14:19:13	2870/2870	---M--	200	added ('OK')	image/png	etag:%2264f0764b-b36%22	https://codewithsadee.github.io/foodie/assets/images/delivery-banner-bg.png	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/delivery-banner-bg.png	(from https://codewithsadee.github.io/foodie/)
14:19:13	21905/21905	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%2264f0764b-5591%22	https://codewithsadee.github.io/foodie/assets/images/delivery-boy.svg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/delivery-boy.svg	(from https://codewithsadee.github.io/foodie/)
14:19:13	46753/46753	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-b6a1%22	https://codewithsadee.github.io/foodie/assets/images/avatar-1.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/avatar-1.jpg	(from https://codewithsadee.github.io/foodie/)
14:19:14	81856/81856	---M--	200	added ('OK')	image/jpeg	etag:%2264f0764b-13fc0%22	https://codewithsadee.github.io/foodie/assets/images/avatar-2.jpg	C:/My%20Web%20Sites/sayt/codewithsadee.github.io/foodie/assets/images/avatar-2.jpg	(from https://codewithsadee.github.io/foodie/)
